 0.000000, 1.000000, 0.000000
 0.000000, 0.875000, 0.000000
 0.000000, 0.750000, 0.000000
 0.000000, 0.625000, 0.000000
 0.000000, 0.500000, 0.000000
 0.000000, 0.375000, 0.000000
 0.000000, 0.250000, 0.000000
 0.000000, 0.125000, 0.000000
 0.000000, 0.000000, 0.000000
 0.125000, 1.000000, 0.000000
 0.125000, 0.875000, 0.004803
 0.125000, 0.750000, 0.356680
 0.125000, 0.625000, 0.343749
 0.125000, 0.500000, 0.224298
 0.125000, 0.375000, 0.036569
 0.125000, 0.250000,-0.872184
 0.125000, 0.125000,-0.803343
 0.125000, 0.000000, 0.597338
 0.250000, 1.000000, 0.000000
 0.250000, 0.875000,-0.323087
 0.250000, 0.750000,-0.325205
 0.250000, 0.625000,-0.558230
 0.250000, 0.500000,-0.377956
 0.250000, 0.375000, 0.656266
 0.250000, 0.250000, 0.815533
 0.250000, 0.125000, 0.337093
 0.250000, 0.000000,-0.100192
 0.375000, 1.000000, 0.000000
 0.375000, 0.875000, 0.367418
 0.375000, 0.750000, 0.596263
 0.375000, 0.625000, 0.430544
 0.375000, 0.500000,-0.269539
 0.375000, 0.375000,-0.497377
 0.375000, 0.250000,-0.149932
 0.375000, 0.125000, 0.164322
 0.375000, 0.000000, 0.031394
 0.500000, 1.000000, 0.000000
 0.500000, 0.875000,-0.249604
 0.500000, 0.750000,-0.474824
 0.500000, 0.625000, 0.220537
 0.500000, 0.500000, 0.529889
 0.500000, 0.375000,-0.126994
 0.500000, 0.250000,-0.439642
 0.500000, 0.125000,-0.217001
 0.500000, 0.000000, 0.019544
 0.625000, 1.000000, 0.000000
 0.625000, 0.875000, 0.173664
 0.625000, 0.750000,-0.508228
 0.625000, 0.625000,-0.498665
 0.625000, 0.500000, 0.158510
 0.625000, 0.375000, 0.436732
 0.625000, 0.250000, 0.553901
 0.625000, 0.125000, 0.322404
 0.625000, 0.000000,-0.030027
 0.750000, 1.000000, 0.000000
 0.750000, 0.875000, 0.764239
 0.750000, 0.750000, 0.884133
 0.750000, 0.625000, 0.243712
 0.750000, 0.500000,-0.420882
 0.750000, 0.375000,-0.596710
 0.750000, 0.250000,-0.323447
 0.750000, 0.125000,-0.283385
 0.750000, 0.000000, 0.037686
 0.875000, 1.000000, 0.000000
 0.875000, 0.875000,-1.033153
 0.875000, 0.750000,-0.542185
 0.875000, 0.625000, 0.050608
 0.875000, 0.500000, 0.247195
 0.875000, 0.375000, 0.376033
 0.875000, 0.250000, 0.396995
 0.875000, 0.125000, 0.012470
 0.875000, 0.000000,-0.034797
 1.000000, 1.000000, 0.000000
 1.000000, 0.875000,-0.163031
 1.000000, 0.750000, 0.118579
 1.000000, 0.625000, 0.065414
 1.000000, 0.500000,-0.000724
 1.000000, 0.375000,-0.023537
 1.000000, 0.250000,-0.039181
 1.000000, 0.125000,-0.045057
 1.000000, 0.000000,-0.000292
