0.3234   0.3315   0.8863	282.4830   371.2808   2651.1549 	185.0272   250.2767   2333.4586 
0.3163   0.3391   0.8860	276.8556   373.6421   2653.5343 	179.7348   253.1236   2331.0478 
0.3084   0.3154   0.8975	270.1302   130.5523   2153.9114	175.6083   17.0036   1838.2732 
-0.3177   -0.3122   -0.8954	275.0910   120.9011   2159.0611 	181.1213   11.9986   1841.1642 
-0.3150   -0.3222   -0.8927	271.4830   133.0523   2160.2791 	181.0955   16.2317   1843.1685
0.2648   0.2562   0.9297	140.4951   -23.4289   1656.4897 	32.2827   -111.0468   1327.8974 
-0.2696   -0.2649   -0.9258	163.9591   -25.2112   1657.0741 	41.4197   -112.4873   1334.1151 
-0.2740   -0.2644   -0.9247	127.6503   -21.9179   1669.2115 	39.7336   -112.1009   1335.9446 
-0.2839   -0.2556   -0.9242	106.6698   11.8789   1426.6205 	0.7712   -74.9974   1095.0322 
0.2805   0.2577   0.9246	101.1769   19.1754   1427.1463 	-2.2025   -68.5757   1094.5921 
-0.2812   -0.2533   -0.9256	100.2014   10.2976   1429.4778 	-3.3726   -75.3586   1096.4198
-0.2862   -0.2070   -0.9356	361.7613   248.2473   2636.4690 	263.5395   174.2089   2264.0469 
0.3040   0.2159   0.9279	376.1857   265.8222   2637.2617 	275.3205   181.4759   2260.9269 
0.3072   0.2195   0.9260	381.1419   260.4266   2640.8485 	277.2917   181.6852   2275.7367 
0.2584   0.1726   0.9505	151.5588   166.1756   2108.9418 	54.3084   104.8288   1730.2027 
0.2748   0.1869   0.9431	185.1517   172.0302   2110.0319 	79.2520   102.5579   1739.6558 
0.2775   0.1879   0.9422	195.4294   173.9137   2110.0735 	84.5805   102.7092   1742.7689 
-0.2378   -0.1911   -0.9523	122.3934   31.4201   1650.5877 	21.4346   -42.1453   1273.1562
-0.2407   -0.1990   -0.9500	139.4004   37.3896   1651.6104 	24.2068   -40.8206   1278.6400 
0.2449   0.2000   0.9487	134.7293   37.0048   1654.5797 	27.3868   -40.7291   1280.6262
-0.1631   -0.1968   -0.9668	149.6732   28.4225   1431.6266 	83.2436   -51.1626   1047.7718 
0.1805   0.2002   0.9630	165.8050   24.7568   1433.9637 	85.7718   -54.8168   1052.3137 
0.1842   0.2066   0.9609	172.4063   27.3734   1434.7379 	88.2125   -55.3139   1054.1201 
-0.2259   -0.2749   -0.9345	229.6165   329.7023   2683.5042 	138.8407   224.9933   2335.8454 
0.2281   0.2805   0.9324	230.7623   335.5652   2686.6086 	141.5023   231.1051   2344.3370 
0.2174   0.2783   0.9356	228.8599   340.8758   2676.9551	129.5287   233.6419   2338.8819 
-0.2577   -0.2520   -0.9328	389.6804   96.0233   2083.9002 	292.2517   -3.7038   1741.5427 
0.2626   0.2537   0.9310	393.8783   95.6007   2083.4188 	292.6090   -5.4900   1740.2851 
0.2644   0.2686   0.9262	402.5554   110.2230   2089.2751 	307.5455   -0.6770   1754.8098 
0.1910   0.2285   0.9546	140.9918   -35.8820   1586.6277 	52.8880   -126.9466   1234.5896 
-0.2006   -0.2269   -0.9530	152.1185   -41.3742   1585.4207 	59.7765   -129.7809   1233.6664 
-0.2075   -0.2267   -0.9516	157.4433   -42.2479   1587.1364 	63.3181   -130.7359   1234.9921 
0.1391   0.1471   0.9793	83.2048   -73.1889   1319.6929 	14.3164   -133.5154   955.4992 
0.1363   0.1575   0.9781	24.0914   -73.8993   1340.1271	-35.1962   -131.8734   970.9778 
-0.1250   -0.1710   -0.9773	31.3518   -74.8724   1345.8426	-33.6806   -137.2555   978.6052
0.2657   0.2949   0.9179	436.4765   234.0505   2639.1001 	349.8806   112.3291   2328.7430 
0.2659   0.2994   0.9163	425.7650   246.0947   2640.8835 	334.1290   122.7644   2332.3055 
-0.2459   -0.2849   -0.9265	378.3164   226.7015   2639.2099 	300.0478   115.0512   2323.6418 
-0.2905   -0.2830   -0.9140	172.1136   106.9442   2187.7222 	57.9596   4.8730   1879.6678 
0.2908   0.2830   0.9140	181.5847   100.9729   2187.1020 	66.5033   0.2581   1879.5956 
-0.3020   -0.2782   -0.9118	183.6898   103.1347   2187.3951 	65.0329   3.1710   1882.4195 
0.1902   0.1795   0.9652	167.8993   -39.7330   1676.8671	85.2233   -113.4994   1347.6954 
-0.2050   -0.1796   -0.9622	198.8070   -51.7840   1674.0534 	111.7342   -125.3688   1347.2893 
0.2163   0.1750   0.9605	212.6903   -58.3708   1670.0765	120.8406   -130.1493   1344.4363 
0.1531   0.1841   0.9709	-54.0576   -62.9705   1417.0522	-127.0786   -130.8430   1081.4475
-0.1675   -0.1887   -0.9676	-43.5891   -58.9018   1425.6855 	-123.9641   -127.0322   1091.8554
-0.1921   -0.2144   -0.9577	2.9032   -72.0943   1442.6074 	-82.7032   -150.1152   1112.6504 
