0.0235   0.1769   0.9839	-157.4123   183.9191   2659.8107	-143.4281   98.3369   2271.8874
0.0073   0.1986   0.9801	-167.0045   192.8547   2669.2642 	-150.7604   97.7394   2282.2796 
0.0288   0.2021   0.9789	-129.6230   192.7890   2669.0797 	-117.0166   97.3738   2283.4413
-0.1002   -0.2811   -0.9544	83.9031   128.0119   2149.3485 	88.8202   7.8336   1765.3000 
0.0944   0.2740   0.9571	64.5442   112.5328   2148.8577 	75.4578   1.3287   1762.0407 
0.0935   0.2852   0.9539	67.6767   118.9896   2152.8827	75.9224   0.7354   1769.4155 
0.0729   0.3064   0.9491	172.6959   47.1557   1691.0434 	186.2446   -76.2845   1308.2722 
-0.0943   -0.2874   -0.9531	177.2439   31.2624   1676.5673 	182.4399   -86.8113   1291.8457
0.0894   0.2982   0.9503	173.6847   32.7183   1682.7210	181.9502   -85.9786   1298.0200
0.0663   0.1594   0.9850	-116.8937   -72.1955   1397.6615 	-114.9803   -143.3859   994.4623 
-0.0663   -0.1845   -0.9806	-119.5825   -55.9507   1412.7981 	-113.6162   -147.6713   1013.7131
-0.0750   -0.1922   -0.9785	-118.5095   -47.5691   1420.3494 	-116.6959   -145.0621   1022.5790
-0.1608   -0.1426   -0.9766	198.8986   -101.7286   2603.2601 	149.4487   -170.7084   2233.6088 
-0.1725   -0.1315   -0.9762	211.3507   -112.4507   2590.5461 	166.2648   -177.6977   2217.7456 
-0.1778   -0.1431   -0.9736	213.5003   -102.8036   2597.9574 	165.2370   -171.6943   2234.4192 
0.0899   0.2742   0.9575	33.6777   -25.4695   2237.5936 	-8.2181   -139.6766   1874.2397 
0.0877   0.2840   0.9548	29.5676   -21.0960   2242.7724	-10.8245   -138.5948   1880.1624 
0.0947   0.2672   0.9590	34.0372   -32.5175   2233.1601 	-11.1251   -144.5576   1873.0364 
-0.1101   -0.1804   -0.9774	54.5101   -231.5911   1687.5699	-1.7322   -303.9700   1311.7378 
-0.1137   -0.1861   -0.9759	47.7993   -226.1940   1693.7438 	-3.8546   -303.9138   1318.4059 
0.1114   0.1916   0.9751	54.0439   -213.3885   1695.7017 	0.6395   -305.7556   1323.3969 
0.1068   0.0266   0.9939	-135.0163   -69.7626   1453.3746 	-187.6734   -87.7929   1068.6338 
0.0939   0.0375   0.9949	-128.9854   -65.1709   1454.0519	-175.8180   -86.8643   1068.1170 
-0.0957   -0.0482   -0.9942	-124.7365   -61.6857   1455.4481 	-169.6696   -87.2376   1069.7432 
-0.3154   -0.3310   -0.8894	267.7557   370.0057   2655.7080 	172.4897   253.3558   2334.7096
