-0.0783   0.2285   0.9704	-434.5616   301.7452   2611.2773	-409.1850   207.1403   2236.2941 
-0.0849   0.2435   0.9662	-444.6978   328.5115   2609.0567	-419.9112   222.2583   2241.9936
-0.0744   0.2430   0.9672	-434.6783   326.7061   2610.6259	-415.5256   221.3893   2239.8761
-0.0466   -0.2141   -0.9757	-41.1286   104.7709   2094.1229	-47.6050   31.1370   1715.2840 
-0.0394   -0.2114   -0.9766	-47.1552   104.6303   2091.7185	-49.6558   29.9229   1711.8737 
-0.0413   -0.2084   -0.9772	-46.5244   108.0729   2089.4009	-50.5338   33.2493   1709.6137 
-0.0429   -0.1891   -0.981	-45.3949   46.3878   1640.5564 	-44.9396   -23.3381   1250.4644 
0.0546   0.1961   0.9791	-39.6642   49.3387   1644.5153	-41.9600   -25.7685   1254.9672 
0.0578   0.1910   0.9799	-43.9941   43.1593   1642.8884 	-43.5828   -29.5557   1253.2618 
0.0358   0.0727   0.9967	-144.8760   -79.8172   1368.3496 	-139.1994   -110.4134   970.0816
0.0349   0.0803   0.9962	-148.8872   -80.6084   1372.6239	-139.1458   -113.7587   974.7464 
0.0343   0.0917   0.9952	-141.4954   -81.0109   1378.6784	-135.9817   -116.5523   981.4077
-0.0494   0.3063   0.9506	-207.4596   150.3381   2715.1941	-238.9221   27.2866   2372.0770 
0.0764   -0.3073   -0.9485	-256.7717   154.5830   2705.3069 	-275.8249   31.6671   2359.0889
-0.0377   0.3084   0.9505	-205.2587   156.1276   2721.3494	-241.7886   32.4914   2373.5302 
-0.0050   0.3048   0.9524	-74.3831   8.9995   2170.4507	-100.6760   -108.0015   1819.6540
-0.0058   0.3118   0.9501	-78.8488   21.8418   2172.5894 	-103.5851   -103.3313   1827.0682 
-0.0097   0.3103   0.9506	-75.7609   15.2577   2171.9296 	-98.4765   -105.4831   1820.1623 
0.0798   0.2322   0.9694	-72.4891   -90.3762   1703.3685 	-122.6608   -188.0368   1342.2182
0.0906   0.2534   0.9631	-29.4763   -78.5989   1705.6252	-87.4890   -185.9170   1349.0143 
0.0596   0.2486   0.9668	-59.2704   -80.4112   1703.1024 	-103.3654   -186.0915   1342.8806
-0.0108   0.2277   0.9737	-157.6397   -98.0138   1451.6871	-175.1567   -193.5305   1084.3641
-0.0154   0.2295   0.9732	-150.8481   -104.2287   1453.3626 	-166.3969   -192.7475   1084.2149
